Value,Date,Sub-Sector,Super Region,Sub-Sector Level 2,Sub-Sector Level 3,Time Level,Unit,Source,Sub-Sector Level 4
82.26,2018-04-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
183.93,2008-06-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
99.58,2015-11-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
139.41,1990-02-28,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
172.53,1997-10-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
153.28,1993-11-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
153.4,2006-04-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
171.28,2007-03-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
150.6,1994-10-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
162.17,1992-12-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
182.25,2004-06-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
181.34,2009-01-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
167.59,2011-06-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
167.62,2005-05-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
190.33,2010-07-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
165.38,1991-07-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
195.6,2003-07-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
